tweet,bullying
So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  ,1
So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  ,1
Drasko they didn't cook half a bird you idiot ,1
Drasko they didn't cook half a bird you idiot ,1
Hopefully someone cooks Drasko in the next ep of ,1
Hopefully someone cooks Drasko in the next ep of ,1
of course you were born in serbia...you're as fucked as A Serbian Film ,1
"These girls are the equivalent of the irritating Asian girls a couple years ago. Well done, 7. ",1
  Lost the plot - where's the big Texan with the elephant sized steaks that they all have for brekkie ?,1
  Lost the plot - where's the big Texan with the elephant sized steaks that they all have for brekkie ?,1
"RT @PhxKen: SIR WINSTON CHURCHHILL: ""ISLAM IS A DANGEROUS IN A MAN AS RABIES IN A DOG"" http://t.co/kCXgKD70SK",1
RT @TheRightWingM: Giuliani watched his city attacked &amp,1
"RT @YesYoureRacist: At least you're only a tiny bit racist RT @AnMo95: I'm not racist, but my dick is!",1
@MisfitInChains @oldgfatherclock @venereveritas13 SANTA JUST *IS* WHITE,1
"RT @Dreamdefenders: Eric Holder from #ferguson: ""I understand that mistrust. I am the Attorney General, but I am also a Black Man"" http://t…",1
RT @AntonioFrench: I spent the morning at the Board of Elections getting maps/data to start registering every black person in #Ferguson. ht…,1
"RT @harikondabolu: In his #Ferguson testimony, Darren Wilson said he thought ""it looks like a demon"" before he shot Mike Brown. Ironic word…",1
"""He can't be a server at our restaurant, that beard makes him look like a terrorist."" Everyone laughs. #fuckthanksgiving",1
@GarrettaBrown85 @5Candrew Why do people even talk about white privilege when the majority of food stamp recipients are white people!!,1
RT @dstfelix: to be clear white boys singing abt hanging niggers got them police protection. black ppl chanting Black Lives Matter got them…,1
RT @ThePatriot143: Bet👉3 'Race Pimps' enjoyed watching #Ferguson protesters being interviewed on @seanhannity show as much as I did. http:/…,1
These two are revolting  2015,1
These two are revolting  2015,1
#katieandnikki stop calling yourselves pretty and hot..you're not and saying it a million times doesn't make you either...STFU ,1
The menus look like they were made by a 5 year old little girl...in this case just the mental age of a 5 year old girl I guess ,1
Wish these blondes were in that How To Get Away With Murder show....,1
Were butchers but can't tell red poultry is not cooked..  #salmonellaqueens ,1
Were butchers but can't tell red poultry is not cooked..  #salmonellaqueens ,1
Not dumb blondes...mmm...perhaps just delusions of adequacy? ,1
Not dumb blondes...mmm...perhaps just delusions of adequacy? ,1
Stop saying dumb blondes with pretty faces as you need a pretty face to pull that off!!!! ,1
@mykitchenrules The Sassy Foods feeling http://t.co/TtqS1N27OL 2015  these girls are vile people #KillerBlondes #basichotdog #nobun,1
 Omg there restaurant looks like a a little girls room oh my! Gosh,1
 Omg there restaurant looks like a a little girls room oh my! Gosh,1
I think they're deconstraucted Pro . . . mowhores ,1
My deconstructed tart joke from the last season of  http://t.co/10LPgtdopB,1
Ash found her inner bogun #whistle #fingersinthemouth Ewwww ,1
Nikki...Kermit the frog called and he wants his voice back  2015 #KillerBlondes @mykitchenrules,1
Nikki...Kermit the frog called and he wants his voice back  2015 #KillerBlondes @mykitchenrules,1
There's more moisture in those spatchcocks than the #killerblondes ,1
The face of very ugly promo girls ! Faces like cats arsehole  excited to see them@go down tonight...literally http://t.co/HgoJrfoIeO,1
@mykitchenrules Elegant and beautiful?Cheap and trashy!Nothing more unattractive than girls banging on about how hot hey are.  #notsassy,1
Sorry #killerblondes but you are a long LONG way from refined. ,1
Sorry #killerblondes but you are a long LONG way from refined. ,1
"Drasko only likes his mum's hot pot, especially when she's drunk and unconscious ",1
its melting because you didnt put it in the freezer before you served it you dumb skank! ,1
 deconstructed by girls that have deconstructed brains  ! Nearly brought up my dinner when I saw that crap on the plate,1
"In the words of former contestant @whatsnextjake , Katie and Nikki need to calm their farm. ",1
I cannot stop looking at Nikki's dreadful black crooked bra  2015,1
Trying to find something pretty about these blonde idiots.,1
Trying to find something pretty about these blonde idiots.,1
"I dislike Kat more than the blondes who are going to tell us they're hot another 50,000 times  #notaustraliasnexttopmodel",1
I've had better looking shits than these two! 2015  #killerblondes,1
"@mykitchenrules Girls, please don't let the leftovers go to waist. My dog would really appreciate it! ",1
"@mykitchenrules Girls, please don't let the leftovers go to waist. My dog would really appreciate it! ",1
shit she knows how to walk.....you go girl...one foot in front of the other.....,1
R u fucking kidding - catwalk - all that's missing is a pole ,1
"Actually Nikki really is quite good looking, wait till my shots hit the newstand!  #photography #fashion",1
Stick to your day jobs girls ,1
Stick to your day jobs girls ,1
Obviously natural blondes!! ,1
jus gonna say it...again....DUMB BITCH! ,1
WTF.... the girls used bought sorbet amd that was the standout!!?? Shouldn't they be disqualified? ??,1
WTF.... the girls used bought sorbet amd that was the standout!!?? Shouldn't they be disqualified? ??,1
"""It's Katie and Nikki to a T. In that it's trashy and cheap.""

",1
I will not be using killer blondes as a hash tag! ,1
I will not be using killer blondes as a hash tag! ,1
"Shut up Katie and Nikki... That is all :)
 2015 #mykitchenrules",1
"Anyone else notice that all 3 of Katie and Nikki's dishes were based on them being sluts? Sausage, cock and tarts?  2015",1
"wait, that back shot of nikki in the kitchen... she's wearing blue knickers?! honey, no. 🙅🙅🙅  #VPLonextreme",1
Just read the #killerblondes get through. Switching off. ,1
Just read the #killerblondes get through. Switching off. ,1
" ""everyone under estimated us"" umm bitch you came second last, like literally just survived - you didn't win! My god #GoAlready #YouSuck",1
Who is writing the bimbolines? ,1
"Katie and Nikki - NSW - My Kitchen Rules 
When Will people learn? They are not that hot. Pride always comes before a fall.",1
@mykitchenrules My god.  You can't use a can opener?  Reminds me of a joke I know.  How do you know a blonde.....? ,1
