tweet,label
".omg why are poc wearing fugly blue contacts so in, it is 2018. please make it stop.",0
.Sorry but most of the runners popular right now are just plain fugly.,0
".those jeans are hideous, and I?m afraid he?s bought the entire collection of those fugly sunglasses ??",0
.I had to dress up for a presentation in class today and I?m giving some serious Mr. Grey zaddy vibes if I do say so myself,0
.Am I the only one who thinks justin bieber is fugly af now?,0
We carry on? We as in fugly lookin unwanted people?,0
"Don?t know what?s worse, the fact he?s hoying milk in before the water or his fat fugly face at the end of that vid.",0
" Enjoy your New Smyrna Beach..full of seaweed, shallow fugly green water and sharks. Nothing comp.",0
Yeah honestly that?s fugly.,0
No one wants to see those fugly 3T bikes?,0
This luxury bldg they?re putting up across from .thepinhook is so fugly. I would still be mad even if it were aesthetically pleasing but ew.,0
Everyone else was in the line up except for her and they got to debut together while she gad to wear a fugly purple.,0
Fell for that again didnt ya XD #PhoneCallTrick.,0
fugly Am alright starting to get a headache myself.,0
"Fugly?, Whom?, You two? Henny.....",0
o wow conq varus actually looks good unlike fucking horrifically fugly conq karma.,0
"I'm fed up with this migraine."", ""How's you",0
King Show off.,0
"if anyone references talking about aliens when explaining aquarius they are fraudulent.', 'do not trust them, they are a fugly.",0
She's fugly.,0
".I am fugly crying!', 'I can?t handle this!', 'This was so beautiful!', 'Euphoria is such a bop too.', '????.",0
"i literally only know one person who uses the word fugly.', 'lol fuck off anna..",0
.Fugly ass.,0
.today i am fatish and fugly.,0
"The ?fugly? friend.', 'Funny &; ugly.",0
.Is fugly a curse word?.,0
.Pain is putting on the outfit that was so cute in your head only to find out it?s fugly on.,0
.And now theres like 20 people claimin one ov my fb statuses is bout them XD People round ear make me chuckle.,0
damn I?m fugly.,0
Fugly,0
"Oh I know.....new titans unis are fugly!', 'Keep enjoying your mayo.",0
finsta is cool because on regular insta everyone showcases their perfect lives &amp; has no flaws but when i check my finsta fe.,0
You never know how much someone means until they are gone.,0
fugly how are you today buddy.,0
"At what Halle?', 'At what?.",0
It's so annoying how Joe looks handsome all the daaaamn time and I need a black and white filter otherwise I strugs,0
".Whenever I see a photo of a girl wt the snapchat ?hearts? filter...', 'I take it as an admission of gulit to being fugly.",0
Tweaking libruls definitely includes wearing something this fugly..,0
I feel dirty having the same icon as this fugly person.,0
I am the opposite: I know exactly how to use lines but fugly as shit..,0
"Aight I just gotta know.', 'Are these cool?', 'I think they are fugly, but I turn 40 this month, so my opinion doesn?t se.",0
Youtuber disgusses fugly movie (for the sake of criticism) - movie director finds ou.,0
"Thanks!', 'Momma Dawgs are really pissed now!!!', ""It's about to FUGLY!!"", '\U0001f92c\U0001f92f.",0
"100k RTS AND LIL YACHTY WILL REMIX WITH MY TEAM!!', 'I GOT 3 WEEKS!!', 'ORIGINAL SONG IN BIO..', 'PLEASE HELP ME OUT!.",0
